timestamp,vessel_count,mean_sog_knots,stopped_ratio,course_dispersion,traffic_density,position_spread_km
2024-01-10T05:25:00Z,159,0.246334,0.958944,0.886187,0.84127,6.770563
2024-01-10T05:30:00Z,136,0.162082,0.97026,0.872945,0.719577,6.562914
2024-01-10T05:35:00Z,165,0.090957,0.973404,0.838402,0.873016,6.49464
2024-01-10T05:40:00Z,171,0.151124,0.952247,0.828325,0.904762,6.678521
2024-01-10T05:45:00Z,169,0.148883,0.958101,0.844559,0.89418,6.669287
2024-01-10T05:50:00Z,172,0.193369,0.94695,0.828829,0.910053,6.616979
2024-01-10T05:55:00Z,172,0.253297,0.942308,0.782556,0.910053,6.715118
2024-01-10T06:00:00Z,138,0.190355,0.93401,0.833369,0.730159,6.753874
2024-01-10T06:05:00Z,169,0.152468,0.961039,0.878774,0.89418,6.540043
2024-01-10T06:10:00Z,164,0.22536,0.956772,0.866111,0.867725,6.548622
2024-01-10T06:15:00Z,169,0.260274,0.958904,0.844526,0.89418,6.675101
2024-01-10T06:20:00Z,165,0.227642,0.95935,0.896029,0.873016,6.561956
2024-01-10T06:25:00Z,175,0.417021,0.912234,0.877876,0.925926,6.825137
2024-01-10T06:30:00Z,163,0.82687,0.889197,0.905957,0.862434,6.651981
2024-01-10T06:35:00Z,172,0.849347,0.874674,0.868688,0.910053,6.502372
2024-01-10T06:40:00Z,175,1.054155,0.876676,0.906429,0.925926,6.78704
2024-01-10T06:45:00Z,176,0.665026,0.88601,0.907352,0.931217,6.783795
2024-01-10T06:50:00Z,170,0.748267,0.893333,0.899951,0.899471,6.633677
2024-01-10T06:55:00Z,166,0.983871,0.88172,0.911857,0.878307,6.732005
2024-01-10T07:00:00Z,174,0.551471,0.906863,0.886566,0.920635,6.716643
2024-01-10T07:05:00Z,169,0.633244,0.911528,0.864176,0.89418,6.679952
2024-01-10T07:10:00Z,170,0.781408,0.926761,0.799464,0.899471,6.833197
2024-01-10T07:15:00Z,168,0.499455,0.945504,0.832257,0.888889,6.577901
2024-01-10T07:20:00Z,162,0.350943,0.946092,0.842751,0.857143,6.726188
2024-01-10T07:25:00Z,171,0.403064,0.930362,0.824204,0.904762,6.701955
2024-01-10T07:30:00Z,169,0.347872,0.93883,0.813374,0.89418,6.676574
2024-01-10T07:35:00Z,172,0.270437,0.946015,0.862741,0.910053,6.564029
2024-01-10T07:40:00Z,174,0.209141,0.941828,0.879816,0.920635,6.676942
2024-01-10T07:45:00Z,171,0.217526,0.93299,0.834667,0.904762,6.627457
2024-01-10T07:50:00Z,178,0.180105,0.934555,0.812154,0.941799,6.550044
2024-01-10T07:55:00Z,171,0.139617,0.948087,0.791759,0.904762,6.503819
2024-01-10T08:00:00Z,173,0.177206,0.958333,0.788693,0.915344,6.393638
2024-01-10T08:05:00Z,174,0.368367,0.954082,0.881593,0.920635,6.541922
2024-01-10T08:10:00Z,174,0.347139,0.950954,0.866896,0.920635,6.705449
2024-01-10T08:15:00Z,174,0.452405,0.96962,0.870486,0.920635,6.712051
2024-01-10T08:20:00Z,175,0.362532,0.972152,0.860223,0.925926,6.658735
2024-01-10T08:25:00Z,173,0.315027,0.95082,0.881483,0.915344,6.74484
2024-01-10T08:30:00Z,177,0.233077,0.951282,0.896361,0.936508,6.653755
2024-01-10T08:35:00Z,170,0.068394,0.96114,0.95991,0.899471,6.741417
2024-01-10T08:40:00Z,175,0.143467,0.949333,0.913264,0.925926,6.803839
2024-01-10T08:45:00Z,174,0.258901,0.942408,0.851786,0.920635,6.709581
